Southeastern Louisiana University,60,305.333333333,300,318,159,155,165,146.333333333,140,153,3.2266666667,2.43,3.98,3.8333333333,3,5.5,101.833333333,100,106
Johns Hopkins University (JHU),62.6349892009,322.777586207,293,340,160.924137931,140,170,161.853448276,138,170,3.6557862931,2.61,4,4.3467241379,2,6,105.115517241,89,119
University Of New Mexico (UNM),50,319,309,330,159,152,165,160,149,166,3.6666666667,3.5,3.8,3.6666666667,3,5,101.333333333,97,106
Fort Hays State University,76.9230769231,305.2,289,321,154.4,146,163,150.8,143,158,3.511,3.3,3.95,3.75,3,5,98.4,94,104
University Of Kansas,71.3513513514,314.704545455,297,339,158.454545455,141,170,156.25,136,170,3.6731060606,2.6,4,4.3560606061,2.5,5.5,101.977272727,92,116
A.T. Still University,80,298.75,294,311,152.5,149,158,146.25,141,153,3.245,3.01,3.53,4.25,4,5,97.25,95,100
North Dakota State University,78.9473684211,315.266666667,299,326,156.733333333,133,170,158.533333333,146,166,3.5026666667,2.7,3.8,4.0333333333,2.5,5.5,100.866666667,80,116
"Imperial College, London (ICL)",80,322.25,303,334,157,139,170,165.25,156,170,3.697,3,4,3.95,3,5.5,100.65,89,116
Elmhurst College,59.0909090909,307.153846154,294,320,157.230769231,146,167,149.923076923,142,158,3.7161538462,3.2,4,4.2692307692,3.5,5,101.461538462,94,108
Brown University,38.7724550898,324.586872587,295,340,161.841698842,143,170,162.745173745,142,170,3.6942471043,2.76,4,4.5212355212,3,6,104.675675676,93,116
University Of Memphis,78.431372549,313.925,298,333,159.25,151,170,154.675,142,168,3.72775,2.68,4,4.4375,3,6,102.1,96,116
"University Of North Carolina, Greensboro",65.9090909091,309.517241379,289,331,157.086206897,144,170,152.431034483,141,170,3.6420689655,2.87,4,4.4827586207,2.5,6,100.672413793,93,116
Nazareth College,43.75,302.285714286,290,317,151.714285714,145,160,150.571428571,145,163,3.7185714286,3.5,3.85,4.2857142857,3.5,5,96.8571428571,93,101
Wesleyan University,75,321.333333333,310,335,158,151,168,163.333333333,159,167,3.5833333333,3.01,3.88,4.5,3.5,6,103.333333333,96,111
University of Waterloo,49.6240601504,321.984848485,302,339,159.424242424,139,170,162.560606061,140,170,3.6456060606,3,4,4.0454545455,2.5,6,103.106060606,89,116
University Of Southern Mississippi,78.3783783784,311.862068966,290,332,156.965517241,147,168,154.896551724,143,169,3.6651724138,3,4,4.1551724138,3,6,100.75862069,94,111
SUNY Stony Brook,49.7180932855,319.782474227,283,340,156.720618557,135,170,163.06185567,138,170,3.646525246,2.7010309278,4,3.8082474227,2,6,105.241237113,82,119
Loyola Chicago,33.3333333333,314.666666667,303,330,161.777777778,152,169,152.888888889,145,167,3.6944444444,3.33,4,4.3333333333,3,5,103.888888889,97,114
The New School,94.3820224719,315.904761905,294,333,160.357142857,138,170,155.547619048,144,170,3.5602380952,2.5,4,4.505952381,1.5,6,103.130952381,88,116
Southern Mississippi,33.3333333333,322,322,322,157,157,157,165,165,165,3.67,3.67,3.67,3.5,3.5,3.5,100,100,100
Lehman College,66.6666666667,305.409090909,290,318,154.545454545,145,162,150.863636364,144,159,3.7327272727,3.23,3.98,4.3636363636,3,5.5,98.7272727273,93,103
University Of Miami,69.9029126214,318.875,300,334,160.611111111,142,170,158.263888889,139,170,3.5727777778,2.79,4,4.4722222222,2.5,6,103.986111111,92,116
University Of Northern Colorado,41.1764705882,313.047619048,295,326,159.952380952,151,168,153.095238095,141,163,3.7566666667,3.4,4,4.5238095238,4,5.5,102.714285714,96,111
University Of Louisville,74.3902439024,313.557377049,296,329,157.327868852,142,169,156.229508197,142,170,3.6432786885,2.7,4,4.3278688525,2,6,100.836065574,92,114
East Stroudsburg University,47.8260869565,301.363636364,292,316,152.727272727,146,161,148.636363636,143,155,3.8172727273,3.52,4,4.1363636364,3.5,5,97.6363636364,94,102
"University Of North Carolina, Wilmington",77.7777777778,309.285714286,303,315,155.142857143,151,162,154.142857143,147,158,3.6914285714,3.42,4,4,3.5,4.5,99.4285714286,96,103
North Carolina State University,48.2154306476,321.635195035,294,340,157.721187943,138,170,163.914007092,132,170,3.6271480439,2.3,4,3.8982712766,1.5,6,105.858599291,78,120
